dimensions, pixel, px,
dimensions, decibel, db,
dimensions, square meter, m²,
area, square meter, m²,
area, square millimeter, mm²,
area, square centimeter, cm²,
area, square kilometer, km²,
area, square inch, in²,
area, square foot, ft²,
area, square yard, yd²,
area, square mile, mile²,
capacitance, farad, F ,
electric charge, coulomb, C,
electric current density, amperes per square meter, A/m²
electric field strength, volts per meter, V/m,
elecrtric potential, volts, V,
elecrtric potential, milliVolt, mV,
elecrtric potential, kiloVolt, kV,
elecrtric potential, megaVolt, MV,
electric resistance, ohm, Ω,
electric resistance, kilohm, kΩ,
electric resistance, megohm, MΩ,
electric resistance, milliohm, mΩ,
electrical conductivity, siemens per meter, S/m,
energy, joule, J,
energy, kilojoule, kJ,
energy, watt hour, Wh,
energy, kilowatt hour, kWh,
energy, megawatt hour, MWh,
energy, btu, BTU,
energy, kilobtu, kBTU,
energy, megabtu, MBTU,
energy, calorie, cal,
energy, megajoule, MJ,
energy, gigajoule, GJ,
apparent energy, volt ampere hour, VAh,
apparent energy, kilovolt ampere hour, kVAh,
apparent energy, megavolt ampere hour, MVAh,
energy by area, joules per square meter, J/m²,
energy by area, kilowatt hours per square meter, kWh,/m²
energy by area, kilowatt hours per square foot, kWh/,ft²
energy by area, megajoules per square meter, MJ/m²,
energy by area, megajoules per square foot, MJ/ft²,
energy by area, kilobtu per square foot, kBTU/ft²,
energy by area, megabtu per square foot, MBTU/ft²,
frequency, hertz, Hz,
frequency, kilohertz, kHz,
frequency, cycles per hour, cph,
frequency, cycles per minute, cpm,
frequency, megahertz, MHz,
grammage, kilograms per square meter, kg/m²,
grammage, grams per square meter, g/m²,
illuminance, lux, lx,
illuminance, candelas per square meter, cd/m²,
inductance, henry, H,
irradiance, watts per square meter irradiance, W/m² ,irr
irradiance, watts per square foot irradiance, W/ft² ,irr
length, meter, m,
length, micrometer, um,
length, millimeter, mm,
length, centimeter, cm,
length, kilometer, km,
length, inch, in,
length, foot, ft,
length, yard, yd,
length, mile, mi,
luminous flux, lumen, lm,
magnetic field strength , amperes per meter, A/m,
magnetic flux, weber, Wb,
magnetic flux density, tesla, T,
mass, kilogram, kg,
mass, milligram, mg,
mass, gram, g,
mass, ounce, oz,
mass, pound, lb,
mass, kilopound, klb,
mass, metric ton, ton,
mass, short ton, t,
power, watt, W,
power, milliwatt, mW,
power, kilowatt, kW,
power, megawatt, MW,
power, gigawatt, GW,
power, btus per hour, BTU/h,
power, therms per hour, therm/h,
power, horsepower, hp,
power, foot pounds per second, ftlbs/sec,
power, joules per hour, J/h,
power, kilojoules per hour, kJ/h,
power, megajoules per hour, MJ/h,
power by area, watts per square meter, W/m²,
power by area, watts per square foot, W/ft²,
power by area, kilowatts per square meter, kW/m²,
power by area, kilowatts per square foot, kW/ft²,
power by area, kilobtus per hour per square foot, kB,TU/h/ft²
apparent power, volt ampere, VA,
apparent power, kilovolt ampere, kVA,
apparent power, megavolt ampere, mVA,
time, nanosecond, ns,
time, microsecond, us,
time, millisecond, ms,
time, second, sec, s,
time, minute, min,
time, hour, hr,
time, day day,
time, week, wk,
time, month, mo,
time, year, yr,
volume, cubic meter, m³,
volume, cubic millimeter, mm³,
volume, cubic centimeter, cm³,
volume, milliliter, mL,
volume, hectoliter, hL,
volume, liter, L,
volume, kiloliter, kL,
volume, cubic inch, in³,
volume, cubic foot, ft³,
volume, cubic yard, yd³,
volume, gallon, gal,
volume, kilogallon, kgal,
volume, quart, qt,
volume, pint, pt,
volume, fluid ounce, fl oz,
volume, imperial gallon, galUK,
volume, hecto cubic foot, hft³,
bytes, byte, B,
bytes, kilobyte, kB,
bytes, megabyte, MB,
bytes, gigabyte, GB,
bytes, terabyte, TB,
bytes, petabyte, PB
